depth,l1,l2,Mode,Frequency,Max_Deflection,Average_Deflection
2.0,100,430,1.0,52.635,18.057000000000002,9.613
2.0,100,430,2.0,145.04,17.343,9.2576
2.0,100,430,3.0,284.12,17.555,9.8835
2.0,100,430,4.0,322.39,28.331,11.414000000000001
2.0,100,430,5.0,469.38,17.794,10.374
2.0,100,430,6.0,488.87,17.737000000000002,9.8077
2.0,30,510,1.0,52.38,18.067999999999998,9.3469
2.0,30,510,2.0,144.56,17.284000000000002,8.4971
2.0,30,510,3.0,283.0,17.488,9.8502
2.0,30,510,4.0,322.55,28.335,11.046
2.0,30,510,5.0,468.62,17.688,9.0044
2.0,30,510,6.0,488.42,17.745,9.5306
2.0,60,630,1.0,52.333,18.035999999999998,8.9309
2.0,60,630,2.0,144.14,17.272000000000002,9.2912
2.0,60,630,3.0,283.46,17.518,8.728
2.0,60,630,4.0,322.21,28.34,10.706
2.0,60,630,5.0,466.53,17.78,9.777000000000001
2.0,60,630,6.0,488.36,17.727999999999998,9.147
2.0,20,780,1.0,52.308,18.028,8.2641
2.0,20,780,2.0,143.85,17.284000000000002,9.1213
2.0,20,780,3.0,281.26,17.592,9.4881
2.0,20,780,4.0,321.82,28.311999999999998,10.088
2.0,20,780,5.0,465.52,17.679000000000002,9.3466
2.0,20,780,6.0,488.52,17.727,8.5025
2.0,40,900,1.0,52.512,18.047,7.9753
2.0,40,900,2.0,144.76,17.305999999999997,8.5207
2.0,40,900,3.0,283.49,17.512,8.8425
2.0,40,900,4.0,322.16,28.322,9.7951
2.0,40,900,5.0,469.44,17.68,9.4763
2.0,40,900,6.0,488.36,17.722,8.2436
2.0,20,960,1.0,52.23,18.019000000000002,7.3914
2.0,20,960,2.0,143.83,17.250999999999998,7.7515
2.0,20,960,3.0,281.85,17.472,8.0001
2.0,20,960,4.0,321.7,28.299,8.9935
2.0,20,960,5.0,465.86,17.673,8.2354
2.0,20,960,6.0,487.79,17.727,7.626
2.0,140,290,1.0,52.706,18.057000000000002,9.2192
2.0,140,290,2.0,145.18,17.333,10.241
2.0,140,290,3.0,284.1,17.555,10.157
2.0,140,290,4.0,322.49,28.337,11.190999999999999
2.0,140,290,5.0,469.71,17.726,9.7381
2.0,140,290,6.0,489.19,17.732,9.454
2.0,180,420,1.0,52.619,18.065,9.5419
2.0,180,420,2.0,144.85,17.29,9.7649
2.0,180,420,3.0,283.46,17.570999999999998,10.264000000000001
2.0,180,420,4.0,322.51,28.358,11.425
2.0,180,420,5.0,467.58,17.701,10.832
2.0,180,420,6.0,489.12,17.737000000000002,9.7495
2.0,160,470,1.0,52.585,18.070999999999998,9.2123
2.0,160,470,2.0,144.92,17.293,9.4869
2.0,160,470,3.0,283.26,17.521,10.609000000000002
2.0,160,470,4.0,322.45,28.337,11.155
2.0,160,470,5.0,467.75,17.753,10.491
2.0,160,470,6.0,489.04,17.744,9.443
2.0,220,670,1.0,52.633,18.061,9.1909
2.0,220,670,2.0,144.82,17.3,10.318
2.0,220,670,3.0,283.51,17.602,10.195
2.0,220,670,4.0,322.48,28.363000000000003,11.168
2.0,220,670,5.0,467.46,17.749000000000002,10.148
2.0,220,670,6.0,489.26,17.730999999999998,9.4267
2.0,180,800,1.0,52.687,18.066,8.865
2.0,180,800,2.0,145.22,17.28,10.092
2.0,180,800,3.0,283.54,17.555999999999997,10.675
2.0,180,800,4.0,322.36,28.342,10.915
2.0,180,800,5.0,468.4,17.707,10.587
2.0,180,800,6.0,489.26,17.734,9.1262
2.0,210,930,1.0,52.6,18.035999999999998,8.4332
2.0,210,930,2.0,144.54,17.33,9.0985
2.0,210,930,3.0,283.07,17.54,9.754
2.0,210,930,4.0,321.94,28.311,10.347000000000001
2.0,210,930,5.0,468.03,17.692999999999998,9.9305
2.0,210,930,6.0,488.76,17.729,8.6908
2.0,190,990,1.0,52.383,18.033,8.4923
2.0,190,990,2.0,144.23,17.268,9.3545
2.0,190,990,3.0,282.35,17.503,9.8554
2.0,190,990,4.0,321.77,28.31,10.380999999999998
2.0,190,990,5.0,466.37,17.694000000000003,9.9265
2.0,190,990,6.0,488.51,17.73,8.731
2.0,360,360,,,,
2.0,360,470,1.0,52.599,18.074,10.325999999999999
2.0,360,470,2.0,144.91,17.304000000000002,9.5973
2.0,360,470,3.0,283.61,17.52,9.6362
2.0,360,470,4.0,322.88,28.364,12.057
