Index,Mode,Frequency,Max_Deflection,Average_Deflection
83.0,6.0,489.26,17.734,9.1262
84.0,1.0,52.6,18.036,8.4332
84.0,2.0,144.54,17.33,9.0985
84.0,3.0,283.07,17.54,9.754
84.0,4.0,321.94,28.311,10.347
84.0,5.0,468.03,17.693,9.9305
84.0,6.0,488.76,17.729,8.6908
85.0,1.0,52.383,18.033,8.4923
85.0,2.0,144.23,17.268,9.3545
85.0,3.0,282.35,17.503,9.8554
85.0,4.0,321.77,28.31,10.381
85.0,5.0,466.37,17.694,9.9265
85.0,6.0,488.51,17.73,8.731
87.0,1.0,52.599,18.074,10.326
87.0,2.0,144.91,17.304,9.5973
87.0,3.0,283.61,17.52,9.6362
87.0,4.0,322.88,28.364,12.057
87.0,5.0,468.72,17.712,10.125
87.0,6.0,489.07,17.742,10.476
88.0,1.0,52.631,18.055,9.8982
88.0,2.0,144.86,17.319,10.784
88.0,3.0,284.5,17.484,9.4136
88.0,4.0,322.66,28.377,11.777
88.0,5.0,469.29,17.85,9.717
88.0,6.0,489.12,17.731,10.088
89.0,1.0,52.722,18.063,9.3494
89.0,2.0,144.92,17.315,10.32
89.0,3.0,283.28,17.473,9.9802
89.0,4.0,322.6,28.368,11.287
89.0,5.0,469.84,17.639,9.5726
89.0,6.0,489.34,17.731,9.5697
90.0,1.0,52.475,18.044,8.4642
90.0,2.0,144.51,17.292,9.1988
90.0,3.0,283.74,17.485,8.837
90.0,4.0,322.22,28.337,10.322
90.0,5.0,468.32,17.791,9.5236
90.0,6.0,488.76,17.726,8.7182
91.0,1.0,52.39,18.031,8.9414
91.0,2.0,144.15,17.301,9.7544
91.0,3.0,282.52,17.484,9.482
91.0,4.0,322.02,28.323,10.766
91.0,5.0,467.02,17.672,8.7562
91.0,6.0,488.57,17.732,9.1505
92.0,1.0,52.656,18.078,10.352
92.0,2.0,145.02,17.308,9.2979
92.0,3.0,283.88,17.492,9.9557
92.0,4.0,322.96,28.364,12.061
92.0,5.0,469.35,17.689,10.062
92.0,6.0,489.12,17.748,10.499
93.0,1.0,52.543,18.066,10.381
93.0,2.0,144.73,17.283,10.044
93.0,3.0,283.77,17.52,9.3834
93.0,4.0,322.86,28.383,12.104
93.0,5.0,466.84,17.683,10.888
93.0,6.0,488.85,17.742,10.532
94.0,1.0,52.588,18.067,9.3794
94.0,2.0,144.91,17.29,10.051
94.0,3.0,283.59,17.521,10.334
94.0,4.0,322.6,28.36,11.318
94.0,5.0,467.06,17.675,10.483
94.0,6.0,489.16,17.735,9.6031
95.0,1.0,52.548,18.063,9.4771
95.0,2.0,144.81,17.308,9.5402
95.0,3.0,283.67,17.536,9.9197
95.0,4.0,322.51,28.349,11.329
95.0,5.0,467.63,17.75,10.522
95.0,6.0,489.0,17.735,9.6829
96.0,1.0,52.146,18.022,9.3188
96.0,2.0,143.86,17.253,8.5876
96.0,3.0,281.82,17.468,9.7501
96.0,4.0,321.97,28.311,10.988
96.0,5.0,465.37,17.752,9.0052
96.0,6.0,487.43,17.742,9.4867
98.0,1.0,52.628,18.058,9.4312
98.0,2.0,144.66,17.292,9.8692
98.0,3.0,283.35,17.608,9.9485
98.0,4.0,322.55,28.36,11.333
98.0,5.0,467.18,17.677,10.334
98.0,6.0,489.2,17.734,9.643
99.0,1.0,52.585,18.077,9.3254
99.0,2.0,144.99,17.315,8.7687
99.0,3.0,283.54,17.527,10.109
99.0,4.0,322.68,28.343,11.14
99.0,5.0,469.01,17.771,9.8027
99.0,6.0,488.8,17.748,9.5393
100.0,1.0,52.699,18.057,10.886
100.0,2.0,145.3,17.286,9.279
100.0,3.0,284.49,17.547,9.5478
100.0,4.0,322.87,28.34,12.549
100.0,5.0,469.42,17.722,9.5935
100.0,6.0,489.29,17.73,11.004
101.0,1.0,52.632,18.048,9.762
101.0,2.0,144.39,17.308,10.721
101.0,3.0,283.59,17.501,9.7071
101.0,4.0,322.61,28.359,11.674
101.0,5.0,468.34,17.835,10.084
101.0,6.0,489.07,17.727,9.9563
102.0,1.0,52.636,18.052,9.3206
102.0,2.0,144.62,17.323,10.02
102.0,3.0,283.96,17.489,9.6513
102.0,4.0,322.5,28.354,11.248
102.0,5.0,468.42,17.918,10.725
102.0,6.0,489.04,17.728,9.5434
103.0,1.0,52.675,18.05,8.3072
103.0,2.0,144.39,17.336,8.9341
103.0,3.0,282.19,17.549,9.2461
103.0,4.0,322.16,28.327,10.068
103.0,5.0,467.63,17.758,8.842
103.0,6.0,488.39,17.724,8.5386
104.0,1.0,52.431,18.055,8.4855
104.0,2.0,144.72,17.303,9.435
104.0,3.0,283.43,17.567,10.179
104.0,4.0,322.12,28.326,10.5
104.0,5.0,467.91,17.683,10.487
104.0,6.0,488.45,17.732,8.7615
105.0,1.0,52.391,18.037,7.7617
105.0,2.0,144.43,17.268,8.2644
105.0,3.0,283.05,17.478,8.6592
105.0,4.0,321.94,28.308,9.4978
105.0,5.0,467.56,17.685,9.0079
105.0,6.0,488.05,17.719,8.0094
106.0,1.0,52.086,18.014,8.5447
106.0,2.0,143.5,17.254,9.268
106.0,3.0,280.55,17.555,9.7712
106.0,4.0,320.95,28.286,10.428
106.0,5.0,462.93,17.948,10.039
106.0,6.0,486.88,17.729,8.7729
107.0,1.0,52.105,18.007,8.9792
107.0,2.0,143.04,17.367,9.5492
107.0,3.0,281.5,17.52,9.2719
107.0,4.0,321.6,28.342,10.769
107.0,5.0,465.6,17.806,9.3349
107.0,6.0,487.41,17.732,9.1741
108.0,1.0,51.98,18.044,9.4233
108.0,2.0,143.46,17.298,8.9893
108.0,3.0,280.55,17.547,9.5888
108.0,4.0,321.94,28.34,11.125
108.0,5.0,463.88,17.785,9.6481
108.0,6.0,487.06,17.752,9.5934
109.0,1.0,52.203,18.098,9.1699
109.0,2.0,144.48,17.309,8.6076
109.0,3.0,281.4,17.52,9.4336
109.0,4.0,322.17,28.331,10.875
109.0,5.0,468.05,17.874,9.1416
109.0,6.0,487.24,17.751,9.3659
110.0,1.0,52.249,18.023,8.4561
110.0,2.0,143.74,17.37,8.9664
110.0,3.0,283.28,17.557,8.7289
110.0,4.0,321.76,28.334,10.24
110.0,5.0,467.56,18.003,9.2864
110.0,6.0,487.66,17.722,8.6972
111.0,1.0,52.452,18.047,8.3512
111.0,2.0,144.12,17.476,9.2402
111.0,3.0,283.29,17.537,9.5576
111.0,4.0,321.64,28.349,10.311
111.0,5.0,468.76,17.705,9.6763
111.0,6.0,488.39,17.731,8.6309
112.0,1.0,52.264,18.039,8.1607
112.0,2.0,144.44,17.283,9.0197
112.0,3.0,283.18,17.534,9.7281
112.0,4.0,321.31,28.29,10.117
112.0,5.0,467.73,17.895,10.205
112.0,6.0,487.67,17.729,8.4421
113.0,1.0,51.849,17.999,7.8277
113.0,2.0,143.13,17.277,8.1855
113.0,3.0,280.76,17.471,8.4749
113.0,4.0,320.99,28.269,9.5097
113.0,5.0,464.36,17.691,8.707
113.0,6.0,486.1,17.722,8.0558
114.0,1.0,52.601,18.057,9.3853
114.0,2.0,144.42,17.306,10.14
114.0,3.0,282.84,17.67,9.935
114.0,4.0,321.96,28.38,11.307
114.0,5.0,464.87,17.984,10.335
114.0,6.0,488.98,17.735,9.6067
115.0,1.0,52.576,18.063,9.5083
